Series Name,"Series Code","Country Name","Country Code","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
Mobile cellular subscriptions,"IT.CEL.SETS","Afghanistan","AFG","0","0","0","0","0","0","0","0","0","0","0","0","0","25000","200000","600000","1200000","2520366","4668096","7898909","10500000","10215840","13797879","15340115","16807156","18407168","19709038","21602982","23929713","21976355","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Albania","ALB","0","0","0","0","0","0","0","2300","3300","5600","11008","29791","392650","851000","1100000","1259590","1530244","1909885","2322436","1859632","2463741","2692372","3100000","3500000","3685983","3359654","3400955","3369756","3625699","2714878","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Algeria","DZA","0","470","4781","4781","4781","1348","4691","11700","17400","18000","72000","86000","100000","450244","1446927","4882414","13661355","20997954","27562721","27031472","32729824","32780165","35615926","37527703","39517045","43298174","43227643","47041321","45845665","47154264","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","American Samoa","ASM","NA","0","0","700","900","1200","1250","1300","1400","1500","1800","1992","2156","2036","2100","2250","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Andorra","AND","0","0","0","770","780","784","2825","5488","8618","14117","20600","23543","29429","32790","51893","58366","64560","69004","63503","64202","64549","65495","65044","63865","63931","66241","71336","76132","80337","82614","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Angola","AGO","0","0","0","0","1100","1824","1994","3298","7052","9820","24000","25806","75000","140000","350000","740000","1611118","3054620","4961536","6773356","8109421","9403365","12073218","12785109","13285198","14052558","13884532","13001124","13323952","13288421","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Antigua and Barbuda","ATG","NA","0","NA","NA","NA","NA","NA","1300","1400","1500","8500","22000","25000","38205","46100","54000","86000","110177","112381","136592","134925","167970","176008","127381","114358","120041","176000","180000","184000","NA","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Argentina","ARG","2300","12000","25000","46590","112000","241163","405395","667020","2009073","2670862","3848869","6487950","6741791","6566740","7842233","13512383","22156426","31510390","40401771","46508774","52482780","57082298","60722729","64327647","67361515","61234216","61842011","63719805","61897379","58598041","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Armenia","ARM","0","0","0","0","0","0","0","300","5000","7831","8161","17486","25504","71349","114379","203309","318044","1259762","1876411","1442000","2191500","3865354","3211215","3322837","3346275","3459137","3464490","3434567","3488524","3579257","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Aruba","ABW","0","0","0","20","NA","NA","1718","3000","3402","5380","12000","15000","53000","61800","69952","98389","103417","109030","113586","120806","128000","131800","NA","135000","138800","139700","141000","NA","NA","NA","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Australia","AUS","94529","184943","291459","497000","690000","1220000","2242000","3990000","4578000","4918000","6315000","8562000","11132000","12670000","14347000","16480000","18420000","19760000","21260000","22120000","22200000","22500000","23789000","24338000","24940000","25060000","25770000","26551000","27463000","28279000","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Austria","AUT","50721","73698","115402","172453","220859","278199","383535","598708","1159700","2292900","4250393","6117000","6541000","6736000","7274000","7992000","8665000","9281000","9912000","10816000","11434000","12241000","13022578","13588000","13272000","12952605","13470623","11079460","10859000","10984000","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Azerbaijan","AZE","0","0","0","0","0","500","6000","17000","40000","65000","370000","420400","730000","794200","1057100","1456523","2242000","3323500","4519000","6548000","7757120","9100113","10120105","10125200","10130102","10552520","10697132","10189000","10127000","10339700","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Bahamas, The","BHS","0","1922","2020","2600","2401","NA","4100","4948","6200","8072","15911","31524","60555","121759","122228","186007","227771","252987","373999","358050","358812","428377","298790","300000","287000","314842","311175","360200","353540","381591","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Bahrain","BHR","4251","5147","7354","9683","11360","17616","27600","40080","58543","92063","133468","205727","299587","388990","443109","649764","767103","907433","1115979","1440782","1401974","1567000","1693650","2123903","2210190","2328994","2519055","2994865","2364477","2092714","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Bangladesh","BGD","0","0","0","250","500","1104","2500","4000","26000","75000","149000","279000","520000","1075000","1365000","2781560","9000000","19130983","34370000","44640000","51359315","67923887","84368700","97180000","116553076","126866091","131375724","135981846","150945000","161771617","NA"
Mobile cellular subscriptions,"IT.CEL.SETS","Barbados","BRB","0","0","486","796","1560","2967","4614","6283","8013","12000","20309","28467","53111","97193","140000","200138","206190","237119","257596","288662","337061","350061","347917","349296","307708","305456","334792","332208","329565","329326","NA"
